# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003095000
PLff	4	128	0	0.011448000
PLatt	4	128	1	0.003086000
PLff	4	128	1	0.011425000
PLatt	4	128	2	0.003115000
PLff	4	128	2	0.011493000
PLatt	4	128	3	0.003088000
PLff	4	128	3	0.011435000
PLc0	4	128	-	0.027152000
PLchk	4	128	-	wall=0.0852s stepsum=0.0851s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005776000
PLff	8	128	0	0.022618000
PLatt	8	128	1	0.005828000
PLff	8	128	1	0.022635000
PLatt	8	128	2	0.005773000
PLff	8	128	2	0.022560000
PLatt	8	128	3	0.005822000
PLff	8	128	3	0.022714000
PLc0	8	128	-	0.027477000
PLchk	8	128	-	wall=0.1413s stepsum=0.1412s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006259000
PLff	16	128	0	0.023974000
PLatt	16	128	1	0.006302000
PLff	16	128	1	0.024233000
PLatt	16	128	2	0.005920000
PLff	16	128	2	0.024116000
PLatt	16	128	3	0.005691000
PLff	16	128	3	0.024168000
PLc0	16	128	-	0.027549000
PLchk	16	128	-	wall=0.1483s stepsum=0.1483s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.011293000
PLff	24	128	0	0.046550000
PLatt	24	128	1	0.010852000
PLff	24	128	1	0.046539000
PLatt	24	128	2	0.010340000
PLff	24	128	2	0.046591000
PLatt	24	128	3	0.010512000
PLff	24	128	3	0.046828000
PLc0	24	128	-	0.027883000
PLchk	24	128	-	wall=0.2578s stepsum=0.2578s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.012906000
PLff	32	128	0	0.048750000
PLatt	32	128	1	0.012470000
PLff	32	128	1	0.049114000
PLatt	32	128	2	0.011942000
PLff	32	128	2	0.048703000
PLatt	32	128	3	0.012014000
PLff	32	128	3	0.049576000
PLc0	32	128	-	0.028076000
PLchk	32	128	-	wall=0.2726s stepsum=0.2725s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.020099000
PLff	48	128	0	0.075497000
PLatt	48	128	1	0.018439000
PLff	48	128	1	0.075810000
PLatt	48	128	2	0.018491000
PLff	48	128	2	0.076107000
PLatt	48	128	3	0.018340000
PLff	48	128	3	0.076245000
PLc0	48	128	-	0.029571000
PLchk	48	128	-	wall=0.4090s stepsum=0.4089s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.029029000
PLff	64	128	0	0.100537000
PLatt	64	128	1	0.026246000
PLff	64	128	1	0.100315000
PLatt	64	128	2	0.025845000
PLff	64	128	2	0.101108000
PLatt	64	128	3	0.026110000
PLff	64	128	3	0.100909000
PLc0	64	128	-	0.029957000
PLchk	64	128	-	wall=0.5407s stepsum=0.5407s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.042830000
PLff	96	128	0	0.149334000
PLatt	96	128	1	0.038962000
PLff	96	128	1	0.150191000
PLatt	96	128	2	0.039112000
PLff	96	128	2	0.150534000
PLatt	96	128	3	0.039007000
PLff	96	128	3	0.150606000
PLc0	96	128	-	0.030846000
PLchk	96	128	-	wall=0.7917s stepsum=0.7917s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.054290000
PLff	128	128	0	0.202634000
PLatt	128	128	1	0.055293000
PLff	128	128	1	0.202911000
PLatt	128	128	2	0.055499000
PLff	128	128	2	0.202375000
PLatt	128	128	3	0.055131000
PLff	128	128	3	0.202553000
PLc0	128	128	-	0.032014000
PLchk	128	128	-	wall=1.0617s stepsum=1.0617s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004716000
PLff	4	512	0	0.011903000
PLatt	4	512	1	0.004433000
PLff	4	512	1	0.011802000
PLatt	4	512	2	0.004419000
PLff	4	512	2	0.011753000
PLatt	4	512	3	0.003575000
PLff	4	512	3	0.011823000
PLc0	4	512	-	0.028462000
PLchk	4	512	-	wall=0.0934s stepsum=0.0933s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.008056000
PLff	8	512	0	0.023304000
PLatt	8	512	1	0.007523000
PLff	8	512	1	0.023373000
PLatt	8	512	2	0.007673000
PLff	8	512	2	0.023280000
PLatt	8	512	3	0.007669000
PLff	8	512	3	0.023315000
PLc0	8	512	-	0.028419000
PLchk	8	512	-	wall=0.1531s stepsum=0.1531s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010516000
PLff	16	512	0	0.025011000
PLatt	16	512	1	0.008876000
PLff	16	512	1	0.025283000
PLatt	16	512	2	0.007591000
PLff	16	512	2	0.025199000
PLatt	16	512	3	0.007646000
PLff	16	512	3	0.025264000
PLc0	16	512	-	0.028680000
PLchk	16	512	-	wall=0.1638s stepsum=0.1637s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	512	0	0.018251000
PLff	24	512	0	0.048686000
PLatt	24	512	1	0.013616000
PLff	24	512	1	0.048733000
PLatt	24	512	2	0.013658000
PLff	24	512	2	0.048746000
PLatt	24	512	3	0.013545000
PLff	24	512	3	0.048797000
PLc0	24	512	-	0.028764000
PLchk	24	512	-	wall=0.2834s stepsum=0.2834s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	512	0	0.027944000
PLff	32	512	0	0.050337000
PLatt	32	512	1	0.019281000
PLff	32	512	1	0.050651000
PLatt	32	512	2	0.018379000
PLff	32	512	2	0.050626000
PLatt	32	512	3	0.018177000
PLff	32	512	3	0.050642000
PLc0	32	512	-	0.029163000
PLchk	32	512	-	wall=0.3154s stepsum=0.3154s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	512	0	0.033728000
PLff	48	512	0	0.076305000
PLatt	48	512	1	0.026650000
PLff	48	512	1	0.075687000
PLatt	48	512	2	0.026779000
PLff	48	512	2	0.075683000
PLatt	48	512	3	0.026666000
PLff	48	512	3	0.075708000
PLc0	48	512	-	0.029519000
PLchk	48	512	-	wall=0.4468s stepsum=0.4468s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	512	0	0.049046000
PLff	64	512	0	0.100772000
PLatt	64	512	1	0.039372000
PLff	64	512	1	0.100702000
PLatt	64	512	2	0.034512000
PLff	64	512	2	0.100431000
PLatt	64	512	3	0.034665000
PLff	64	512	3	0.100684000
PLc0	64	512	-	0.029778000
PLchk	64	512	-	wall=0.5915s stepsum=0.5914s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	512	0	0.074077000
PLff	96	512	0	0.150919000
