# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.010185000
PLff	4	128	0	0.011603000
PLatt	4	128	1	0.002960000
PLff	4	128	1	0.010871000
PLatt	4	128	2	0.002926000
PLff	4	128	2	0.010173000
PLatt	4	128	3	0.002966000
PLff	4	128	3	0.010258000
PLc0	4	128	-	0.029296000
PLchk	4	128	-	wall=0.0970s stepsum=0.0970s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005740000
PLff	8	128	0	0.021624000
PLatt	8	128	1	0.005622000
PLff	8	128	1	0.020687000
PLatt	8	128	2	0.005291000
PLff	8	128	2	0.020984000
PLatt	8	128	3	0.005696000
PLff	8	128	3	0.021000000
PLc0	8	128	-	0.025837000
PLchk	8	128	-	wall=0.1340s stepsum=0.1339s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006036000
PLff	16	128	0	0.022980000
PLatt	16	128	1	0.005968000
PLff	16	128	1	0.021149000
PLatt	16	128	2	0.005403000
PLff	16	128	2	0.021674000
PLatt	16	128	3	0.005354000
PLff	16	128	3	0.023093000
PLc0	16	128	-	0.026919000
PLchk	16	128	-	wall=0.1405s stepsum=0.1405s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.012371000
PLff	24	128	0	0.045033000
PLatt	24	128	1	0.010852000
PLff	24	128	1	0.043667000
PLatt	24	128	2	0.010486000
PLff	24	128	2	0.044439000
PLatt	24	128	3	0.010165000
PLff	24	128	3	0.043348000
PLc0	24	128	-	0.026510000
PLchk	24	128	-	wall=0.2472s stepsum=0.2472s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.012514000
PLff	32	128	0	0.046734000
PLatt	32	128	1	0.012379000
PLff	32	128	1	0.046148000
PLatt	32	128	2	0.011011000
PLff	32	128	2	0.046821000
PLatt	32	128	3	0.011066000
PLff	32	128	3	0.048596000
PLc0	32	128	-	0.026300000
PLchk	32	128	-	wall=0.2655s stepsum=0.2655s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.019740000
PLff	48	128	0	0.072023000
PLatt	48	128	1	0.018508000
PLff	48	128	1	0.067373000
PLatt	48	128	2	0.017154000
PLff	48	128	2	0.071284000
PLatt	48	128	3	0.016951000
PLff	48	128	3	0.070561000
PLc0	48	128	-	0.026894000
PLchk	48	128	-	wall=0.3837s stepsum=0.3837s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.025799000
PLff	64	128	0	0.095585000
PLatt	64	128	1	0.024295000
PLff	64	128	1	0.089541000
PLatt	64	128	2	0.024336000
PLff	64	128	2	0.096697000
PLatt	64	128	3	0.023492000
PLff	64	128	3	0.096674000
PLc0	64	128	-	0.028040000
PLchk	64	128	-	wall=0.5064s stepsum=0.5064s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.038591000
PLff	96	128	0	0.151660000
PLatt	96	128	1	0.035682000
PLff	96	128	1	0.150554000
PLatt	96	128	2	0.035383000
PLff	96	128	2	0.152102000
PLatt	96	128	3	0.035032000
PLff	96	128	3	0.147640000
PLc0	96	128	-	0.027664000
PLchk	96	128	-	wall=0.7743s stepsum=0.7742s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.053039000
PLff	128	128	0	0.197823000
PLatt	128	128	1	0.053210000
PLff	128	128	1	0.201772000
PLatt	128	128	2	0.053321000
PLff	128	128	2	0.202354000
PLatt	128	128	3	0.054157000
PLff	128	128	3	0.199457000
PLc0	128	128	-	0.029201000
PLchk	128	128	-	wall=1.0455s stepsum=1.0454s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004256000
PLff	4	512	0	0.010789000
PLatt	4	512	1	0.003372000
PLff	4	512	1	0.010503000
PLatt	4	512	2	0.003339000
PLff	4	512	2	0.010834000
PLatt	4	512	3	0.003327000
PLff	4	512	3	0.011251000
PLc0	4	512	-	0.026998000
PLchk	4	512	-	wall=0.0848s stepsum=0.0847s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.007564000
PLff	8	512	0	0.022092000
PLatt	8	512	1	0.007301000
PLff	8	512	1	0.021095000
PLatt	8	512	2	0.007100000
PLff	8	512	2	0.022180000
PLatt	8	512	3	0.007494000
PLff	8	512	3	0.022299000
PLc0	8	512	-	0.026519000
PLchk	8	512	-	wall=0.1453s stepsum=0.1452s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010024000
PLff	16	512	0	0.023149000
PLatt	16	512	1	0.008530000
PLff	16	512	1	0.022403000
PLatt	16	512	2	0.006920000
PLff	16	512	2	0.021395000
PLatt	16	512	3	0.007017000
PLff	16	512	3	0.023576000
PLc0	16	512	-	0.026781000
PLchk	16	512	-	wall=0.1514s stepsum=0.1514s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	512	0	0.017214000
PLff	24	512	0	0.046392000
PLatt	24	512	1	0.012909000
PLff	24	512	1	0.041877000
PLatt	24	512	2	0.013048000
PLff	24	512	2	0.047417000
PLatt	24	512	3	0.013682000
PLff	24	512	3	0.047804000
PLc0	24	512	-	0.026806000
PLchk	24	512	-	wall=0.2666s stepsum=0.2666s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	512	0	0.021371000
PLff	32	512	0	0.048432000
PLatt	32	512	1	0.020860000
PLff	32	512	1	0.049058000
PLatt	32	512	2	0.019680000
PLff	32	512	2	0.047090000
PLatt	32	512	3	0.016241000
PLff	32	512	3	0.046608000
PLc0	32	512	-	0.027409000
PLchk	32	512	-	wall=0.2989s stepsum=0.2989s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	512	0	0.030168000
PLff	48	512	0	0.074947000
PLatt	48	512	1	0.025341000
PLff	48	512	1	0.075002000
PLatt	48	512	2	0.023254000
PLff	48	512	2	0.074468000
PLatt	48	512	3	0.022945000
PLff	48	512	3	0.069831000
PLc0	48	512	-	0.027367000
PLchk	48	512	-	wall=0.4256s stepsum=0.4256s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	512	0	0.044459000
PLff	64	512	0	0.096146000
PLatt	64	512	1	0.040418000
PLff	64	512	1	0.094241000
PLatt	64	512	2	0.033292000
PLff	64	512	2	0.091458000
PLatt	64	512	3	0.033192000
PLff	64	512	3	0.096854000
PLc0	64	512	-	0.027752000
PLchk	64	512	-	wall=0.5622s stepsum=0.5622s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	512	0	0.068728000
PLff	96	512	0	0.149540000
PLatt	96	512	1	0.056383000
PLff	96	512	1	0.149415000
PLatt	96	512	2	0.047342000
PLff	96	512	2	0.152763000
PLatt	96	512	3	0.046967000
PLff	96	512	3	0.156189000
PLc0	96	512	-	0.028776000
PLchk	96	512	-	wall=0.8570s stepsum=0.8570s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	512	0	0.082311000
PLff	128	512	0	0.194066000
PLatt	128	512	1	0.072666000
PLff	128	512	1	0.180146000
PLatt	128	512	2	0.061860000
PLff	128	512	2	0.189593000
PLatt	128	512	3	0.061223000
PLff	128	512	3	0.197698000
PLc0	128	512	-	0.029828000
PLchk	128	512	-	wall=1.0788s stepsum=1.0788s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	2048	0	0.009403000
PLff	4	2048	0	0.010902000
PLatt	4	2048	1	0.005434000
PLff	4	2048	1	0.010815000
PLatt	4	2048	2	0.005554000
PLff	4	2048	2	0.010796000
PLatt	4	2048	3	0.005683000
PLff	4	2048	3	0.010619000
PLc0	4	2048	-	0.026973000
