# 외부 baseline 측정값. 재부팅으로 /tmp 원본이 소실되어 대화 기록에서 복원했다.
# ⚠️ 원자료 로그는 없다. 재현이 필요하면 재측정해야 한다.
system	metric	S	nodes	rep	value	unit
llama.cpp-local	pp_tps	447	1	1	17.49	t/s
llama.cpp-local	pp_tps	1789	1	1	17.16	t/s
llama.cpp-rpc	pp_tps	447	2	1	7.23	t/s
llama.cpp-rpc	pp_tps	447	4	1	7.22	t/s
llama.cpp-rpc	pp_tps	447	8	1	6.77	t/s
llama.cpp-rpc	pp_tps	1789	2	1	6.79	t/s
llama.cpp-rpc	pp_tps	1789	4	1	6.81	t/s
llama.cpp-rpc	pp_tps	1789	8	1	6.47	t/s
llama.cpp-local-norepack	pp_tps	447	1	1	2.62	t/s
llama.cpp-local-norepack	pp_tps	447	1	2	3.42	t/s
official-dllama	wall_prefill_ms	447	1	1	254250.66	ms
official-dllama	wall_prefill_ms	447	1	2	247146.50	ms
official-dllama	wall_prefill_ms	447	1	3	242833.61	ms
official-dllama	wall_prefill_ms	447	2	1	117513.92	ms
official-dllama	wall_prefill_ms	447	2	2	117527.36	ms
official-dllama	wall_prefill_ms	447	4	1	58600.58	ms
official-dllama	wall_prefill_ms	447	4	2	58090.41	ms
official-dllama	wall_prefill_ms	447	8	1	214990.46	ms
official-dllama	wall_prefill_ms	447	8	2	215372.75	ms
official-dllama	wall_prefill_ms	1789	2	1	550677.55	ms
official-dllama	wall_prefill_ms	1789	2	2	655694.12	ms
official-dllama	wall_prefill_ms	1789	4	1	292205.08	ms
official-dllama	wall_prefill_ms	1789	4	2	293670.97	ms
official-dllama	wall_prefill_ms	1789	8	1	865378.51	ms
official-dllama	wall_prefill_ms	1789	8	2	863342.56	ms
ours-B32	prefill_ms	447	1	1	54648.26	ms
ours-B32	prefill_ms	447	1	2	36456.50	ms
ours-B32	prefill_ms	447	1	3	31116.75	ms
ours-B32	prefill_ms	447	2	1	17293.40	ms
ours-B32	prefill_ms	447	2	2	16840.14	ms
ours-B32	prefill_ms	447	2	3	16447.14	ms
ours-B32	prefill_ms	447	4	1	9585.28	ms
ours-B32	prefill_ms	447	4	2	9721.81	ms
ours-B32	prefill_ms	447	4	3	9772.69	ms
ours-B32	prefill_ms	447	8	1	6180.61	ms
ours-B32	prefill_ms	447	8	2	6267.77	ms
ours-B32	prefill_ms	447	8	3	6123.54	ms
ours-B32	prefill_ms	1789	1	1	147923.64	ms
ours-B32	prefill_ms	1789	1	2	172346.84	ms
ours-B32	prefill_ms	1789	1	3	172096.50	ms
ours-B32	prefill_ms	1789	2	1	80250.82	ms
ours-B32	prefill_ms	1789	2	2	78153.66	ms
ours-B32	prefill_ms	1789	2	3	76823.62	ms
ours-B32	prefill_ms	1789	4	1	40996.45	ms
ours-B32	prefill_ms	1789	4	2	40123.54	ms
ours-B32	prefill_ms	1789	4	3	40213.45	ms
ours-B32	prefill_ms	1789	8	1	22767.74	ms
ours-B32	prefill_ms	1789	8	2	23102.39	ms
ours-B32	prefill_ms	1789	8	3	24613.94	ms
ours-B32-N1rerun	prefill_ms	447	1	1	32979.29	ms
ours-B32-N1rerun	prefill_ms	447	1	2	32513.80	ms
ours-B32-N1rerun	prefill_ms	447	1	3	33855.71	ms
ours-B32-N1rerun	prefill_ms	447	1	4	31548.50	ms
ours-B32-N1rerun	prefill_ms	1789	1	1	152950.42	ms
ours-B32-N1rerun	prefill_ms	1789	1	2	156013.50	ms
ours-B32-N1rerun	prefill_ms	1789	1	3	149038.39	ms
ours-B32-N1rerun	prefill_ms	1789	1	4	153898.02	ms
ours-B16	prefill_ms	1789	8	1	22811.98	ms
ours-B16	prefill_ms	1789	8	2	23038.76	ms
ours-B16	prefill_ms	1789	8	3	22561.43	ms
ours-B16	prefill_ms	1789	4	1	39487.80	ms
ours-B16	prefill_ms	1789	4	2	40071.73	ms
ours-B16	prefill_ms	1789	4	3	39981.14	ms
ours-B16	prefill_ms	1789	2	1	74901.93	ms
ours-B16	prefill_ms	1789	2	2	77487.13	ms
ours-B16	prefill_ms	1789	2	3	75815.24	ms
ours-B16	prefill_ms	1789	1	1	151465.47	ms
ours-B16	prefill_ms	1789	1	2	156331.06	ms
ours-B16	prefill_ms	1789	1	3	152483.12	ms
ours-B16	prefill_ms	447	8	1	5457.94	ms
ours-B16	prefill_ms	447	8	2	5453.61	ms
ours-B16	prefill_ms	447	8	3	5515.84	ms
ours-B16	prefill_ms	447	4	1	8862.43	ms
ours-B16	prefill_ms	447	4	2	9027.17	ms
ours-B16	prefill_ms	447	4	3	8773.97	ms
ours-B16	prefill_ms	447	2	1	16146.69	ms
ours-B16	prefill_ms	447	2	2	16124.41	ms
ours-B16	prefill_ms	447	2	3	16516.61	ms
ours-B16	prefill_ms	447	1	1	31420.83	ms
ours-B16	prefill_ms	447	1	2	32687.48	ms
ours-B16	prefill_ms	447	1	3	34530.49	ms
