tag	mode	tokens	B	threads	prefillMs	syncWaitMs	syncXferMs	md5	bin
s447_B16_t4_1m0	0	448	16	4	6510.35	2556.95	12.49	c52e50e37e65	a6c22236
s447_B16_t4_2m1	1	448	16	4	4389.21	1193.34	9.67	c52e50e37e65	a6c22236
s447_B16_t4_3m1	1	448	16	4	4412.72	1271.34	10.70	c52e50e37e65	a6c22236
s447_B16_t4_4m0	0	448	16	4	6536.64	2633.90	12.62	c52e50e37e65	a6c22236
s447_B16_t1_1m0	0	448	16	1	13601.18	3106.58	13.36	c52e50e37e65	a6c22236
s447_B16_t1_2m1	1	448	16	1	13626.21	3200.70	14.61	c52e50e37e65	a6c22236
s447_B16_t1_3m1	1	448	16	1	13612.89	3184.18	14.10	c52e50e37e65	a6c22236
s447_B16_t1_4m0	0	448	16	1	13575.53	3127.22	13.09	c52e50e37e65	a6c22236
s447_B32_t4_1m0	0	448	32	4	7877.11	3623.53	13.90	c52e50e37e65	a6c22236
s447_B32_t4_2m1	1	448	32	4	5265.83	2141.00	10.21	c52e50e37e65	a6c22236
s447_B32_t4_3m1	1	448	32	4	5249.35	1816.19	9.20	c52e50e37e65	a6c22236
