run() {
  local name=$1
  local log=$SC/j1b_${name}_$SEQ.log
  # 워커 기동 실패를 삼키지 않는다. 한 번 재시도한다.
문법 OK
seq	plan	prefillMs	chunks	temp
1	P0	25542.23	56	52.4->57.3
2	P1	27658.44	56	55.1->57.9
3	P0	25850.81	56	55.1->58.4
4	P2	26880.47	56	54.0->57.9
5	P0	26143.18	56	56.8->59.0
6	P3a	25005.61	56	55.6->59.5
7	P0	25805.21	56	55.6->56.8
8	P3b	26978.44	56	55.1->58.4
9	P0	25665.56	56	56.8->58.4
10	P3b	25506.76	56	56.2->58.4
11	P0	25632.27	56	55.6->57.9
12	P3a	25546.16	56	56.8->59.0
13	P0	25745.04	56	57.3->59.5
14	P2	24960.77	56	57.3->58.4
15	P0	25675.31	56	55.6->59.0
16	P1	25694.33	56	56.8->59.5
17	P0	25872.26	56	56.8->59.0

[exited with code 0]
