문법 OK — 시작
seq	plan	prefillMs	chunks	temp
1	B32	25951.35	56	54.0->59.5
2	B16	22155.14	112	56.2->60.6
3	B32	25047.07	56	56.8->60.6
4	B24	26588.65	75	57.3->56.2
5	B32	25919.20	56	55.1->60.0
6	B64	27039.14	28	57.3->60.0
7	B32	25221.11	56	58.4->61.1
8	B128	32815.79	14	57.9->57.9
9	B32	25355.62	56	57.3->59.0
10	B128	33245.62	14	57.3->57.9
11	B32	25075.40	56	55.6->60.0
12	B64	28743.85	28	57.9->60.0
13	B32	25411.65	56	57.9->60.0
14	B24	26777.20	75	57.9->60.6
15	B32	24949.61	56	58.4->60.6
16	B16	22520.99	112	57.3->61.1
17	B32	25509.39	56	57.9->59.0

[exited with code 0]
