seq	mode	prefillMs	syncWaitMs	syncXferMs	md5	temp
0	BASE	7718.42	3884.47	13.02	c52e50e37e65	51.2->54.0
1	BASE	7678.53	3924.00	13.15	c52e50e37e65	51.2->52.9
2	SP	5303.07	2220.60	9.76	895c8b182e9c	51.8->54.0
3	BASE	7501.54	3761.93	12.83	c52e50e37e65	51.8->54.0
4	SP	5305.76	2247.86	9.97	895c8b182e9c	51.2->54.5
5	BASE	7413.98	3749.68	12.64	c52e50e37e65	51.8->53.5
6	SP	5212.15	2104.06	9.52	895c8b182e9c	51.2->54.0
7	BASE	7629.68	3855.78	12.88	c52e50e37e65	50.7->54.5
8	SP	5207.50	2104.93	9.88	895c8b182e9c	51.8->54.5
9	BASE	7406.65	3537.42	12.38	c52e50e37e65	51.8->54.0
