nodes	S	rep	wall_prefill_ms	ttft_ms
1	447	1	245282.63	245876.43
1	447	2	240439.48	241104.93
2	447	1	115501.02	115806.80
2	447	2	115134.09	115561.26
4	447	1	FAIL	FAIL
4	447	2	FAIL	FAIL
8	447	1	FAIL	FAIL
8	447	2	FAIL	FAIL
2	1789	1	534517.22	534865.77
2	1789	2	532414.18	532759.57
4	1789	1	FAIL	FAIL
4	1789	2	FAIL	FAIL
8	1789	1	FAIL	FAIL
8	1789	2	FAIL	FAIL
4	447	1	FAIL	FAIL
4	447	2	FAIL	FAIL
8	447	1	FAIL	FAIL
8	447	2	FAIL	FAIL
4	1789	1	FAIL	FAIL
4	1789	2	FAIL	FAIL
8	1789	1	FAIL	FAIL
8	1789	2	FAIL	FAIL
4	447	1	58318.16	58473.64
4	447	2	58897.58	59050.55
8	447	1	214578.26	215063.65
8	447	2	214724.40	215207.61
4	1789	1	251866.62	252044.02
4	1789	2	255208.37	255396.41
8	1789	1	861368.40	861871.80
8	1789	2	860173.51	860659.24
