# shape	threads	batch	mode	gemm_ms	GOPS
K= 4096 N=14336	1	16	dup	22.074	85.1
K= 4096 N=14336	1	16	shared	22.071	85.1
K= 4096 N=14336	1	32	dup	43.941	85.5
K= 4096 N=14336	1	32	shared	43.898	85.6
K= 4096 N=14336	2	16	dup	11.054	170.0
K= 4096 N=14336	2	16	shared	11.059	169.9
K= 4096 N=14336	2	32	dup	22.093	170.1
K= 4096 N=14336	2	32	shared	22.065	170.3
K= 4096 N=14336	3	16	dup	7.518	249.9
K= 4096 N=14336	3	16	shared	7.499	250.6
K= 4096 N=14336	3	32	dup	26.317	142.8
K= 4096 N=14336	3	32	shared	15.081	249.2
K= 4096 N=14336	4	16	dup	5.823	322.7
K= 4096 N=14336	4	16	shared	5.781	325.1
K= 4096 N=14336	4	32	dup	11.805	318.4
K= 4096 N=14336	4	32	shared	11.402	329.6
K= 6144 N= 9556	1	16	dup	22.097	85.0
K= 6144 N= 9556	1	16	shared	22.133	84.9
K= 6144 N= 9556	1	32	dup	43.963	85.5
K= 6144 N= 9556	1	32	shared	44.562	84.3
K= 6144 N= 9556	2	16	dup	11.059	169.9
K= 6144 N= 9556	2	16	shared	11.068	169.7
K= 6144 N= 9556	2	32	dup	22.082	170.2
K= 6144 N= 9556	2	32	shared	21.984	170.9
K= 6144 N= 9556	3	16	dup	7.557	248.6
K= 6144 N= 9556	3	16	shared	7.467	251.6
K= 6144 N= 9556	3	32	dup	14.946	251.4
K= 6144 N= 9556	3	32	shared	14.854	253.0
K= 6144 N= 9556	4	16	dup	6.368	295.0
K= 6144 N= 9556	4	16	shared	5.825	322.6
K= 6144 N= 9556	4	32	dup	12.032	312.3
K= 6144 N= 9556	4	32	shared	11.355	330.9
K= 8192 N= 7168	1	16	dup	21.998	85.4
K= 8192 N= 7168	1	16	shared	21.916	85.7
K= 8192 N= 7168	1	32	dup	43.846	85.7
K= 8192 N= 7168	1	32	shared	43.854	85.7
K= 8192 N= 7168	2	16	dup	11.061	169.9
K= 8192 N= 7168	2	16	shared	11.158	168.4
K= 8192 N= 7168	2	32	dup	22.961	163.7
K= 8192 N= 7168	2	32	shared	22.051	170.4
K= 8192 N= 7168	3	16	dup	7.566	248.3
K= 8192 N= 7168	3	16	shared	7.587	247.7
K= 8192 N= 7168	3	32	dup	14.990	250.7
K= 8192 N= 7168	3	32	shared	14.989	250.7
K= 8192 N= 7168	4	16	dup	6.086	308.8
K= 8192 N= 7168	4	16	shared	6.718	279.7
K= 8192 N= 7168	4	32	dup	12.286	305.9
K= 8192 N= 7168	4	32	shared	11.490	327.1
K=10240 N= 5732	1	16	dup	21.988	85.4
K=10240 N= 5732	1	16	shared	21.921	85.7
K=10240 N= 5732	1	32	dup	43.777	85.8
K=10240 N= 5732	1	32	shared	43.752	85.9
K=10240 N= 5732	2	16	dup	11.062	169.8
K=10240 N= 5732	2	16	shared	11.056	169.9
K=10240 N= 5732	2	32	dup	22.119	169.8
K=10240 N= 5732	2	32	shared	21.985	170.9
K=10240 N= 5732	3	16	dup	7.660	245.2
K=10240 N= 5732	3	16	shared	7.483	251.0
K=10240 N= 5732	3	32	dup	15.133	248.2
K=10240 N= 5732	3	32	shared	14.814	253.6
K=10240 N= 5732	4	16	dup	6.446	291.4
K=10240 N= 5732	4	16	shared	5.728	327.9
K=10240 N= 5732	4	32	dup	12.629	297.5
K=10240 N= 5732	4	32	shared	11.474	327.4
K=12288 N= 4776	1	16	dup	21.929	85.6
K=12288 N= 4776	1	16	shared	22.057	85.1
K=12288 N= 4776	1	32	dup	43.728	85.9
K=12288 N= 4776	1	32	shared	44.362	84.7
K=12288 N= 4776	2	16	dup	11.032	170.2
K=12288 N= 4776	2	16	shared	11.090	169.3
K=12288 N= 4776	2	32	dup	22.046	170.4
K=12288 N= 4776	2	32	shared	22.011	170.6
K=12288 N= 4776	3	16	dup	7.534	249.3
K=12288 N= 4776	3	16	shared	7.480	251.1
K=12288 N= 4776	3	32	dup	15.107	248.6
K=12288 N= 4776	3	32	shared	14.867	252.6
K=12288 N= 4776	4	16	dup	7.090	264.9
K=12288 N= 4776	4	16	shared	5.935	316.4
K=12288 N= 4776	4	32	dup	14.854	252.9
K=12288 N= 4776	4	32	shared	11.353	330.9
K=14336 N= 4096	1	16	dup	22.088	85.1
K=14336 N= 4096	1	16	shared	21.987	85.5
K=14336 N= 4096	1	32	dup	44.474	84.5
K=14336 N= 4096	1	32	shared	44.695	84.1
K=14336 N= 4096	2	16	dup	11.071	169.7
K=14336 N= 4096	2	16	shared	11.041	170.2
K=14336 N= 4096	2	32	dup	22.130	169.8
K=14336 N= 4096	2	32	shared	21.993	170.9
K=14336 N= 4096	3	16	dup	7.643	245.9
K=14336 N= 4096	3	16	shared	7.619	246.6
K=14336 N= 4096	3	32	dup	15.306	245.5
K=14336 N= 4096	3	32	shared	14.881	252.5
K=14336 N= 4096	4	16	dup	9.603	195.7
K=14336 N= 4096	4	16	shared	5.681	330.7
K=14336 N= 4096	4	32	dup	18.914	198.7
K=14336 N= 4096	4	32	shared	11.257	333.8
