# shape	threads	batch	pack_ms	gemm_ms	total_ms	GOPS	pack%
K= 4096 N=14336	1	16	0.101	21.946	22.047	85.6	0.5
K= 4096 N=14336	1	32	0.175	44.068	44.244	85.3	0.4
K= 4096 N=14336	2	16	0.126	11.118	11.244	169.0	1.1
K= 4096 N=14336	2	32	0.195	22.673	22.868	165.8	0.9
K= 4096 N=14336	3	16	0.160	7.953	8.113	236.3	2.0
K= 4096 N=14336	3	32	0.213	15.406	15.619	243.9	1.4
K= 4096 N=14336	4	16	0.178	6.387	6.566	294.2	2.7
K= 4096 N=14336	4	32	0.259	12.362	12.621	304.0	2.1
K= 6144 N= 9556	1	16	0.132	22.513	22.645	83.5	0.6
K= 6144 N= 9556	1	32	0.216	44.509	44.724	84.4	0.5
K= 6144 N= 9556	2	16	0.144	11.586	11.730	162.2	1.2
K= 6144 N= 9556	2	32	0.223	22.471	22.694	167.2	1.0
K= 6144 N= 9556	3	16	0.164	7.980	8.144	235.4	2.0
K= 6144 N= 9556	3	32	0.244	15.361	15.606	244.6	1.6
K= 6144 N= 9556	4	16	0.199	6.377	6.576	294.6	3.0
K= 6144 N= 9556	4	32	0.347	12.821	13.168	293.1	2.6
K= 8192 N= 7168	1	16	0.140	21.994	22.133	85.4	0.6
K= 8192 N= 7168	1	32	0.247	44.174	44.420	85.1	0.6
K= 8192 N= 7168	2	16	0.181	11.682	11.863	160.9	1.5
K= 8192 N= 7168	2	32	0.248	22.379	22.628	167.9	1.1
K= 8192 N= 7168	3	16	0.179	7.827	8.006	240.1	2.2
K= 8192 N= 7168	3	32	0.333	15.239	15.572	246.6	2.1
K= 8192 N= 7168	4	16	0.211	6.468	6.680	290.5	3.2
K= 8192 N= 7168	4	32	0.427	12.888	13.315	291.6	3.2
K=10240 N= 5732	1	16	0.152	22.195	22.347	84.6	0.7
K=10240 N= 5732	1	32	0.282	43.887	44.169	85.6	0.6
K=10240 N= 5732	2	16	0.180	11.075	11.255	169.6	1.6
K=10240 N= 5732	2	32	0.310	22.071	22.381	170.2	1.4
K=10240 N= 5732	3	16	0.209	7.651	7.859	245.5	2.7
K=10240 N= 5732	3	32	0.378	15.094	15.472	248.9	2.4
K=10240 N= 5732	4	16	0.252	6.333	6.584	296.6	3.8
K=10240 N= 5732	4	32	0.493	12.990	13.483	289.2	3.7
K=12288 N= 4776	1	16	0.180	22.059	22.239	85.1	0.8
K=12288 N= 4776	1	32	0.325	44.457	44.782	84.5	0.7
K=12288 N= 4776	2	16	0.200	11.087	11.287	169.4	1.8
K=12288 N= 4776	2	32	0.328	22.061	22.388	170.3	1.5
K=12288 N= 4776	3	16	0.212	7.592	7.804	247.4	2.7
K=12288 N= 4776	3	32	0.439	15.100	15.538	248.7	2.8
K=12288 N= 4776	4	16	0.253	7.622	7.875	246.4	3.2
K=12288 N= 4776	4	32	0.548	15.096	15.645	248.8	3.5
K=14336 N= 4096	1	16	0.191	21.922	22.112	85.7	0.9
K=14336 N= 4096	1	32	0.335	43.901	44.236	85.6	0.8
K=14336 N= 4096	2	16	0.201	11.052	11.253	170.0	1.8
K=14336 N= 4096	2	32	0.378	22.140	22.519	169.7	1.7
K=14336 N= 4096	3	16	0.230	7.661	7.891	245.3	2.9
K=14336 N= 4096	3	32	0.490	15.308	15.797	245.5	3.1
K=14336 N= 4096	4	16	0.288	9.611	9.899	195.5	2.9
K=14336 N= 4096	4	32	0.695	19.813	20.508	189.7	3.4
