# shape	threads	batch	pack_ms	gemm_ms	total_ms	GOPS	pack%
GateUp K=4096  N=14336	1	4	0.069	6.675	6.744	70.4	1.0
GateUp K=4096  N=14336	1	8	0.088	13.314	13.402	70.6	0.7
GateUp K=4096  N=14336	1	16	0.125	22.006	22.131	85.4	0.6
GateUp K=4096  N=14336	1	32	0.168	44.579	44.748	84.3	0.4
GateUp K=4096  N=14336	4	4	0.140	3.368	3.508	139.5	4.0
GateUp K=4096  N=14336	4	8	0.153	6.588	6.741	142.6	2.3
GateUp K=4096  N=14336	4	16	0.162	5.838	6.000	321.9	2.7
GateUp K=4096  N=14336	4	32	0.257	11.683	11.939	321.7	2.1
중간   K=7168  N=8192 	1	4	0.103	6.808	6.911	69.0	1.5
중간   K=7168  N=8192 	1	8	0.121	13.132	13.252	71.5	0.9
중간   K=7168  N=8192 	1	16	0.138	22.234	22.372	84.5	0.6
중간   K=7168  N=8192 	1	32	0.221	43.904	44.125	85.6	0.5
중간   K=7168  N=8192 	4	4	0.140	3.440	3.581	136.5	3.9
중간   K=7168  N=8192 	4	8	0.172	6.781	6.953	138.6	2.5
중간   K=7168  N=8192 	4	16	0.195	5.999	6.195	313.2	3.2
중간   K=7168  N=8192 	4	32	0.315	12.012	12.327	312.9	2.6
Down   K=14336 N=4096 	1	4	0.115	6.816	6.932	68.9	1.7
Down   K=14336 N=4096 	1	8	0.151	13.507	13.658	69.6	1.1
Down   K=14336 N=4096 	1	16	0.175	21.835	22.010	86.1	0.8
Down   K=14336 N=4096 	1	32	0.363	43.676	44.038	86.0	0.8
Down   K=14336 N=4096 	4	4	0.175	3.917	4.092	119.9	4.3
Down   K=14336 N=4096 	4	8	0.226	7.651	7.877	122.8	2.9
Down   K=14336 N=4096 	4	16	0.254	9.021	9.275	208.3	2.7
Down   K=14336 N=4096 	4	32	0.635	18.291	18.925	205.5	3.4
