seq	mode	prefillMs	opPrefillMs	w2Ms	packMs	md5	mhz	temp
0	BASE	31888.30	31883.5	10726.0	0.0	8b8178a50a97	2400000	54.5->63.4
1	BASE	31431.17	31425.7	10243.4	0.0	8b8178a50a97	2100000	64.5->65.5
2	SP	28143.78	28136.8	5927.3	246.5	8b8178a50a97	2100000	65.5->66.1
3	BASE	36442.48	36437.4	13470.0	0.0	8b8178a50a97	2000000	65.0->66.7
4	SP	25631.31	25626.0	5533.8	142.4	8b8178a50a97	2100000	66.7->66.1
5	BASE	36493.85	36488.6	13601.8	0.0	8b8178a50a97	2000000	65.5->66.1
6	SP	26132.49	26127.2	5625.6	178.7	8b8178a50a97	2000000	65.5->66.7
7	BASE	35758.09	35753.5	13815.6	0.0	8b8178a50a97	2200000	65.5->66.1
8	SP	30012.80	30007.7	6332.0	308.4	8b8178a50a97	2400000	67.2->66.1
9	BASE	35154.14	35148.2	12433.8	0.0	8b8178a50a97	2000000	67.8->67.2
