# shape	threads	batch	ms	GOPS	W_MiB	tot_MiB	BW_GBps	intensity
Q/O    4096->4096	1	4	7.209	18.6	9.0	9.1	1.32	14.1
Q/O    4096->4096	1	8	11.647	23.0	9.0	9.2	0.82	28.0
Q/O    4096->4096	1	16	21.585	24.9	9.0	9.3	0.45	55.0
Q/O    4096->4096	1	32	40.157	26.7	9.0	9.6	0.25	106.3
Q/O    4096->4096	1	64	78.230	27.5	9.0	10.3	0.14	199.5
Q/O    4096->4096	2	4	3.598	37.3	9.0	9.1	2.65	14.1
Q/O    4096->4096	2	8	5.634	47.6	9.0	9.2	1.70	28.0
Q/O    4096->4096	2	16	10.600	50.6	9.0	9.3	0.92	55.0
Q/O    4096->4096	2	32	19.906	53.9	9.0	9.6	0.51	106.3
Q/O    4096->4096	2	64	39.244	54.7	9.0	10.3	0.27	199.5
Q/O    4096->4096	4	4	2.724	49.3	9.0	9.1	3.50	14.1
Q/O    4096->4096	4	8	3.452	77.8	9.0	9.2	2.78	28.0
Q/O    4096->4096	4	16	5.995	89.6	9.0	9.3	1.63	55.0
Q/O    4096->4096	4	32	10.632	101.0	9.0	9.6	0.95	106.3
Q/O    4096->4096	4	64	20.640	104.0	9.0	10.3	0.52	199.5
K/V    4096->1024	1	4	1.499	22.4	2.2	2.3	1.60	14.0
K/V    4096->1024	1	8	2.967	22.6	2.2	2.3	0.82	27.7
K/V    4096->1024	1	16	6.019	22.3	2.2	2.4	0.41	53.8
K/V    4096->1024	1	32	10.195	26.3	2.2	2.5	0.26	102.1
K/V    4096->1024	1	64	19.631	27.3	2.2	2.8	0.15	185.1
K/V    4096->1024	2	4	0.800	42.0	2.2	2.3	2.99	14.0
K/V    4096->1024	2	8	1.383	48.5	2.2	2.3	1.75	27.7
K/V    4096->1024	2	16	2.739	49.0	2.2	2.4	0.91	53.8
K/V    4096->1024	2	32	4.980	53.9	2.2	2.5	0.53	102.1
K/V    4096->1024	2	64	9.855	54.5	2.2	2.8	0.29	185.1
K/V    4096->1024	4	4	0.519	64.7	2.2	2.3	4.61	14.0
K/V    4096->1024	4	8	0.802	83.7	2.2	2.3	3.03	27.7
K/V    4096->1024	4	16	1.428	94.0	2.2	2.4	1.75	53.8
K/V    4096->1024	4	32	2.571	104.4	2.2	2.5	1.02	102.1
K/V    4096->1024	4	64	5.012	107.1	2.2	2.8	0.58	185.1
Gate/Up 4096->14336	1	4	23.277	20.2	31.5	31.7	1.43	14.1
Gate/Up 4096->14336	1	8	37.632	25.0	31.5	32.0	0.89	28.0
Gate/Up 4096->14336	1	16	72.703	25.8	31.5	32.4	0.47	55.2
Gate/Up 4096->14336	1	32	137.923	27.2	31.5	33.4	0.25	107.4
Gate/Up 4096->14336	1	64	273.266	27.5	31.5	35.3	0.14	203.3
Gate/Up 4096->14336	2	4	12.236	38.4	31.5	31.7	2.72	14.1
Gate/Up 4096->14336	2	8	19.250	48.8	31.5	32.0	1.74	28.0
Gate/Up 4096->14336	2	16	36.899	50.9	31.5	32.4	0.92	55.2
Gate/Up 4096->14336	2	32	69.306	54.2	31.5	33.4	0.51	107.4
Gate/Up 4096->14336	2	64	137.183	54.8	31.5	35.3	0.27	203.3
Gate/Up 4096->14336	4	4	10.081	46.6	31.5	31.7	3.30	14.1
Gate/Up 4096->14336	4	8	12.074	77.8	31.5	32.0	2.78	28.0
Gate/Up 4096->14336	4	16	21.135	88.9	31.5	32.4	1.61	55.2
Gate/Up 4096->14336	4	32	37.042	101.5	31.5	33.4	0.94	107.4
Gate/Up 4096->14336	4	64	71.675	104.9	31.5	35.3	0.52	203.3
Down  14336->4096	1	4	22.372	21.0	31.5	31.6	1.48	14.2
Down  14336->4096	1	8	36.933	25.4	31.5	31.7	0.90	28.2
Down  14336->4096	1	16	72.067	26.1	31.5	32.0	0.47	56.0
Down  14336->4096	1	32	137.409	27.3	31.5	32.5	0.25	110.4
Down  14336->4096	1	64	274.635	27.4	31.5	33.4	0.13	214.4
Down  14336->4096	2	4	13.768	34.1	31.5	31.6	2.41	14.2
Down  14336->4096	2	8	19.883	47.3	31.5	31.7	1.67	28.2
Down  14336->4096	2	16	37.838	49.7	31.5	32.0	0.89	56.0
Down  14336->4096	2	32	70.435	53.4	31.5	32.5	0.48	110.4
Down  14336->4096	2	64	139.183	54.0	31.5	33.4	0.25	214.4
Down  14336->4096	4	4	16.396	28.7	31.5	31.6	2.02	14.2
Down  14336->4096	4	8	15.946	58.9	31.5	31.7	2.09	28.2
Down  14336->4096	4	16	24.335	77.2	31.5	32.0	1.38	56.0
Down  14336->4096	4	32	40.158	93.6	31.5	32.5	0.85	110.4
Down  14336->4096	4	64	75.117	100.1	31.5	33.4	0.47	214.4
