# shape	threads	batch	ms	GOPS	W_MiB	tot_MiB	BW_GBps	intensity
Q/O    4096->4096	1	4	2.064	65.0	9.0	9.1	4.61	14.1
Q/O    4096->4096	1	8	4.344	61.8	9.0	9.2	2.21	28.0
Q/O    4096->4096	1	16	6.604	81.3	9.0	9.3	1.48	55.0
Q/O    4096->4096	1	32	12.779	84.0	9.0	9.6	0.79	106.3
Q/O    4096->4096	1	64	25.712	83.5	9.0	10.3	0.42	199.5
Q/O    4096->4096	2	4	1.034	129.8	9.0	9.1	9.20	14.1
Q/O    4096->4096	2	8	2.138	125.5	9.0	9.2	4.49	28.0
Q/O    4096->4096	2	16	3.219	166.8	9.0	9.3	3.03	55.0
Q/O    4096->4096	2	32	6.384	168.2	9.0	9.6	1.58	106.3
Q/O    4096->4096	2	64	12.777	168.1	9.0	10.3	0.84	199.5
Q/O    4096->4096	4	4	1.263	106.2	9.0	9.1	7.54	14.1
Q/O    4096->4096	4	8	2.417	111.0	9.0	9.2	3.97	28.0
Q/O    4096->4096	4	16	1.955	274.6	9.0	9.3	5.00	55.0
Q/O    4096->4096	4	32	3.958	271.3	9.0	9.6	2.55	106.3
Q/O    4096->4096	4	64	7.133	301.0	9.0	10.3	1.51	199.5
K/V    4096->1024	1	4	0.498	67.4	2.2	2.3	4.81	14.0
K/V    4096->1024	1	8	0.955	70.3	2.2	2.3	2.54	27.7
K/V    4096->1024	1	16	2.010	66.8	2.2	2.4	1.24	53.8
K/V    4096->1024	1	32	3.791	70.8	2.2	2.5	0.69	102.1
K/V    4096->1024	1	64	6.892	77.9	2.2	2.8	0.42	185.1
K/V    4096->1024	2	4	0.304	110.4	2.2	2.3	7.87	14.0
K/V    4096->1024	2	8	0.545	123.0	2.2	2.3	4.45	27.7
K/V    4096->1024	2	16	0.898	149.5	2.2	2.4	2.78	53.8
K/V    4096->1024	2	32	1.700	157.9	2.2	2.5	1.55	102.1
K/V    4096->1024	2	64	3.245	165.5	2.2	2.8	0.89	185.1
K/V    4096->1024	4	4	0.262	128.3	2.2	2.3	9.15	14.0
K/V    4096->1024	4	8	0.388	173.1	2.2	2.3	6.26	27.7
K/V    4096->1024	4	16	0.496	270.8	2.2	2.4	5.03	53.8
K/V    4096->1024	4	32	0.931	288.4	2.2	2.5	2.83	102.1
K/V    4096->1024	4	64	1.802	297.9	2.2	2.8	1.61	185.1
Gate/Up 4096->14336	1	4	7.080	66.4	31.5	31.7	4.70	14.1
Gate/Up 4096->14336	1	8	13.393	70.2	31.5	32.0	2.50	28.0
Gate/Up 4096->14336	1	16	22.219	84.6	31.5	32.4	1.53	55.2
Gate/Up 4096->14336	1	32	44.071	85.3	31.5	33.4	0.79	107.4
Gate/Up 4096->14336	1	64	88.482	84.9	31.5	35.3	0.42	203.3
Gate/Up 4096->14336	2	4	3.672	127.9	31.5	31.7	9.06	14.1
Gate/Up 4096->14336	2	8	6.992	134.4	31.5	32.0	4.79	28.0
Gate/Up 4096->14336	2	16	11.156	168.4	31.5	32.4	3.05	55.2
Gate/Up 4096->14336	2	32	22.205	169.2	31.5	33.4	1.58	107.4
Gate/Up 4096->14336	2	64	44.252	169.8	31.5	35.3	0.84	203.3
Gate/Up 4096->14336	4	4	4.820	97.5	31.5	31.7	6.90	14.1
Gate/Up 4096->14336	4	8	9.546	98.4	31.5	32.0	3.51	28.0
Gate/Up 4096->14336	4	16	6.316	297.5	31.5	32.4	5.39	55.2
Gate/Up 4096->14336	4	32	12.448	301.9	31.5	33.4	2.81	107.4
Gate/Up 4096->14336	4	64	25.293	297.2	31.5	35.3	1.46	203.3
Down  14336->4096	1	4	7.216	65.1	31.5	31.6	4.60	14.2
Down  14336->4096	1	8	13.322	70.5	31.5	31.7	2.50	28.2
Down  14336->4096	1	16	21.885	85.9	31.5	32.0	1.53	56.0
Down  14336->4096	1	32	43.926	85.6	31.5	32.5	0.77	110.4
Down  14336->4096	1	64	88.235	85.2	31.5	33.4	0.40	214.4
Down  14336->4096	2	4	3.490	134.6	31.5	31.6	9.50	14.2
Down  14336->4096	2	8	6.842	137.3	31.5	31.7	4.86	28.2
Down  14336->4096	2	16	10.988	171.0	31.5	32.0	3.05	56.0
Down  14336->4096	2	32	22.004	170.8	31.5	32.5	1.55	110.4
Down  14336->4096	2	64	44.031	170.7	31.5	33.4	0.80	214.4
Down  14336->4096	4	4	4.463	105.3	31.5	31.6	7.43	14.2
Down  14336->4096	4	8	8.939	105.1	31.5	31.7	3.72	28.2
Down  14336->4096	4	16	5.835	322.0	31.5	32.0	5.75	56.0
Down  14336->4096	4	32	11.512	326.4	31.5	32.5	2.96	110.4
Down  14336->4096	4	64	23.111	325.2	31.5	33.4	1.52	214.4
