layer	projection	null	actual_red	null_red	delta_pp
0	Q	uniform	0.6433	0.3987	24.46
0	Q	sampled_proj_hist	0.6433	0.6299	1.34
0	Q	tile_hist	0.6433	0.6323	1.10
0	Q	cross_out	0.6433	0.6304	1.29
0	K	uniform	0.6339	0.3978	23.61
0	K	sampled_proj_hist	0.6339	0.6180	1.59
0	K	tile_hist	0.6339	0.6232	1.07
0	K	cross_out	0.6339	0.6206	1.33
0	V	uniform	0.5670	0.3975	16.96
0	V	sampled_proj_hist	0.5670	0.5500	1.70
0	V	tile_hist	0.5670	0.5633	0.37
0	V	cross_out	0.5670	0.5593	0.78
0	O	uniform	0.4584	0.3979	6.05
0	O	sampled_proj_hist	0.4584	0.4625	-0.42
0	O	tile_hist	0.4584	0.4624	-0.40
0	O	cross_out	0.4584	0.4584	0.00
0	Gate	uniform	0.4619	0.3983	6.36
0	Gate	sampled_proj_hist	0.4619	0.4658	-0.38
0	Gate	tile_hist	0.4619	0.4634	-0.15
0	Gate	cross_out	0.4619	0.4633	-0.14
0	Down	uniform	0.4622	0.3988	6.34
0	Down	sampled_proj_hist	0.4622	0.4618	0.04
0	Down	tile_hist	0.4622	0.4677	-0.55
0	Down	cross_out	0.4622	0.4657	-0.35
0	Up	uniform	0.4545	0.3981	5.64
0	Up	sampled_proj_hist	0.4545	0.4625	-0.80
0	Up	tile_hist	0.4545	0.4598	-0.52
0	Up	cross_out	0.4545	0.4565	-0.20
1	Q	uniform	0.4828	0.3978	8.50
1	Q	sampled_proj_hist	0.4828	0.4798	0.30
1	Q	tile_hist	0.4828	0.4812	0.16
1	Q	cross_out	0.4828	0.4799	0.29
1	K	uniform	0.4967	0.3972	9.95
1	K	sampled_proj_hist	0.4967	0.4882	0.85
1	K	tile_hist	0.4967	0.4921	0.46
1	K	cross_out	0.4967	0.4884	0.83
1	V	uniform	0.4790	0.3977	8.13
1	V	sampled_proj_hist	0.4790	0.4735	0.55
1	V	tile_hist	0.4790	0.4783	0.07
1	V	cross_out	0.4790	0.4766	0.24
1	O	uniform	0.4551	0.3963	5.88
1	O	sampled_proj_hist	0.4551	0.4594	-0.43
1	O	tile_hist	0.4551	0.4578	-0.27
1	O	cross_out	0.4551	0.4537	0.14
1	Gate	uniform	0.4588	0.3975	6.13
1	Gate	sampled_proj_hist	0.4588	0.4617	-0.29
1	Gate	tile_hist	0.4588	0.4652	-0.64
1	Gate	cross_out	0.4588	0.4617	-0.29
1	Down	uniform	0.4521	0.3976	5.45
1	Down	sampled_proj_hist	0.4521	0.4594	-0.73
1	Down	tile_hist	0.4521	0.4577	-0.56
1	Down	cross_out	0.4521	0.4545	-0.24
1	Up	uniform	0.4563	0.3978	5.85
1	Up	sampled_proj_hist	0.4563	0.4630	-0.67
1	Up	tile_hist	0.4563	0.4586	-0.23
1	Up	cross_out	0.4563	0.4567	-0.04
2	Q	uniform	0.4594	0.3978	6.16
