layer	projection	tiles	reduction
0	Q	131072	0.6477
0	K	32768	0.6478
0	V	32768	0.6478
0	O	131072	0.6477
0	Gate	458752	0.6477
0	Up	458752	0.6478
0	Down	458752	0.6478
1	Q	131072	0.6478
1	K	32768	0.6479
1	V	32768	0.6477
1	O	131072	0.6478
1	Gate	458752	0.6479
1	Up	458752	0.6478
1	Down	458752	0.6478
2	Q	131072	0.6479
2	K	32768	0.6479
2	V	32768	0.6478
2	O	131072	0.6478
2	Gate	458752	0.6479
2	Up	458752	0.6479
2	Down	458752	0.6479
3	Q	131072	0.6479
3	K	32768	0.6479
3	V	32768	0.6479
3	O	131072	0.6479
3	Gate	458752	0.6479
3	Up	458752	0.6479
3	Down	458752	0.6478
4	Q	131072	0.6478
4	K	32768	0.6480
4	V	32768	0.6478
4	O	131072	0.6480
4	Gate	458752	0.6479
4	Up	458752	0.6479
4	Down	458752	0.6479
5	Q	131072	0.6480
5	K	32768	0.6478
5	V	32768	0.6478
5	O	131072	0.6478
5	Gate	458752	0.6479
5	Up	458752	0.6479
5	Down	458752	0.6478
6	Q	131072	0.6480
6	K	32768	0.6478
6	V	32768	0.6478
6	O	131072	0.6478
6	Gate	458752	0.6479
6	Up	458752	0.6479
6	Down	458752	0.6478
7	Q	131072	0.6479
7	K	32768	0.6479
7	V	32768	0.6479
7	O	131072	0.6479
7	Gate	458752	0.6479
7	Up	458752	0.6479
7	Down	458752	0.6478
8	Q	131072	0.6479
8	K	32768	0.6480
8	V	32768	0.6478
8	O	131072	0.6479
8	Gate	458752	0.6479
8	Up	458752	0.6478
8	Down	458752	0.6477
9	Q	131072	0.6478
9	K	32768	0.6478
9	V	32768	0.6478
9	O	131072	0.6478
9	Gate	458752	0.6478
9	Up	458752	0.6479
9	Down	458752	0.6477
10	Q	131072	0.6478
10	K	32768	0.6480
10	V	32768	0.6479
10	O	131072	0.6477
10	Gate	458752	0.6478
10	Up	458752	0.6478
10	Down	458752	0.6476
11	Q	131072	0.6475
11	K	32768	0.6477
11	V	32768	0.6475
11	O	131072	0.6477
11	Gate	458752	0.6477
11	Up	458752	0.6476
11	Down	458752	0.6473
12	Q	131072	0.6474
12	K	32768	0.6477
12	V	32768	0.6477
12	O	131072	0.6476
12	Gate	458752	0.6475
12	Up	458752	0.6474
12	Down	458752	0.6471
13	Q	131072	0.6474
13	K	32768	0.6474
13	V	32768	0.6474
13	O	131072	0.6473
13	Gate	458752	0.6473
13	Up	458752	0.6472
13	Down	458752	0.6469
14	Q	131072	0.6472
14	K	32768	0.6473
14	V	32768	0.6472
14	O	131072	0.6472
14	Gate	458752	0.6472
14	Up	458752	0.6474
14	Down	458752	0.5205
15	Q	131072	0.4695
15	K	32768	0.4691
15	V	32768	0.4693
15	O	131072	0.4693
15	Gate	458752	0.4691
15	Up	458752	0.4710
15	Down	458752	0.4727
16	Q	131072	0.4674
16	K	32768	0.4670
16	V	32768	0.4679
16	O	131072	0.4678
16	Gate	458752	0.4684
16	Up	458752	0.4688
16	Down	458752	0.4702
17	Q	131072	0.4670
17	K	32768	0.4670
17	V	32768	0.4666
17	O	131072	0.4671
17	Gate	458752	0.4677
17	Up	458752	0.4684
17	Down	458752	0.4671
18	Q	131072	0.4662
18	K	32768	0.4660
18	V	32768	0.4666
18	O	131072	0.4665
18	Gate	458752	0.4681
18	Up	458752	0.4682
18	Down	458752	0.4672
19	Q	131072	0.4661
19	K	32768	0.4658
19	V	32768	0.4672
19	O	131072	0.4669
19	Gate	458752	0.4691
19	Up	458752	0.4694
19	Down	458752	0.4676
20	Q	131072	0.4657
20	K	32768	0.4655
20	V	32768	0.4655
20	O	131072	0.4664
20	Gate	458752	0.4687
20	Up	458752	0.4686
20	Down	458752	0.4663
21	Q	131072	0.4655
21	K	32768	0.4653
21	V	32768	0.4655
21	O	131072	0.4661
21	Gate	458752	0.4690
21	Up	458752	0.4685
21	Down	458752	0.4663
22	Q	131072	0.4657
22	K	32768	0.4661
22	V	32768	0.4657
22	O	131072	0.4668
22	Gate	458752	0.4701
22	Up	458752	0.4688
22	Down	458752	0.4664
23	Q	131072	0.4656
23	K	32768	0.4654
23	V	32768	0.4658
23	O	131072	0.4665
23	Gate	458752	0.4697
23	Up	458752	0.4685
23	Down	458752	0.4664
24	Q	131072	0.4661
24	K	32768	0.4658
24	V	32768	0.4663
24	O	131072	0.4669
24	Gate	458752	0.4698
24	Up	458752	0.4691
24	Down	458752	0.4669
25	Q	131072	0.4657
25	K	32768	0.4657
25	V	32768	0.4660
25	O	131072	0.4663
25	Gate	458752	0.4687
25	Up	458752	0.4679
25	Down	458752	0.4668
26	Q	131072	0.4665
26	K	32768	0.4662
26	V	32768	0.4663
26	O	131072	0.4672
26	Gate	458752	0.4695
26	Up	458752	0.4684
26	Down	458752	0.4660
27	Q	131072	0.4674
27	K	32768	0.4665
27	V	32768	0.4668
27	O	131072	0.4681
27	Gate	458752	0.4704
27	Up	458752	0.4690
27	Down	458752	0.4666
28	Q	131072	0.4674
28	K	32768	0.4675
28	V	32768	0.4668
28	O	131072	0.4677
28	Gate	458752	0.4695
28	Up	458752	0.4690
28	Down	458752	0.4678
29	Q	131072	0.4674
29	K	32768	0.4675
29	V	32768	0.4671
29	O	131072	0.4677
29	Gate	458752	0.4696
29	Up	458752	0.4690
29	Down	458752	0.4661
30	Q	131072	0.4660
30	K	32768	0.4666
30	V	32768	0.4660
30	O	131072	0.4667
30	Gate	458752	0.4691
30	Up	458752	0.4683
30	Down	458752	0.4660
31	Q	131072	0.4653
31	K	32768	0.4655
31	V	32768	0.4653
31	O	131072	0.4660
31	Gate	458752	0.4687
31	Up	458752	0.4679
31	Down	458752	0.4653
