layer	projection	tiles	reduction
0	Q	131072	0.6482
0	K	32768	0.6326
0	V	32768	0.5513
0	O	131072	0.4586
0	Gate	458752	0.4591
0	Up	458752	0.4573
0	Down	458752	0.4587
1	Q	131072	0.4813
1	K	32768	0.4869
1	V	32768	0.4679
1	O	131072	0.4560
1	Gate	458752	0.4570
1	Up	458752	0.4569
1	Down	458752	0.4573
2	Q	131072	0.4676
2	K	32768	0.4732
2	V	32768	0.4617
2	O	131072	0.4567
2	Gate	458752	0.4563
2	Up	458752	0.4560
2	Down	458752	0.4567
3	Q	131072	0.4611
3	K	32768	0.4618
3	V	32768	0.4588
3	O	131072	0.4541
3	Gate	458752	0.4560
3	Up	458752	0.4561
3	Down	458752	0.4563
4	Q	131072	0.4609
4	K	32768	0.4622
4	V	32768	0.4596
4	O	131072	0.4549
4	Gate	458752	0.4567
4	Up	458752	0.4571
4	Down	458752	0.4575
5	Q	131072	0.4615
5	K	32768	0.4618
5	V	32768	0.4602
5	O	131072	0.4555
5	Gate	458752	0.4559
5	Up	458752	0.4568
5	Down	458752	0.4567
6	Q	131072	0.4578
6	K	32768	0.4581
6	V	32768	0.4598
6	O	131072	0.4543
6	Gate	458752	0.4557
6	Up	458752	0.4572
6	Down	458752	0.4563
7	Q	131072	0.4582
7	K	32768	0.4575
7	V	32768	0.4592
7	O	131072	0.4538
7	Gate	458752	0.4563
7	Up	458752	0.4588
7	Down	458752	0.4568
8	Q	131072	0.4589
8	K	32768	0.4598
8	V	32768	0.4615
8	O	131072	0.4544
8	Gate	458752	0.4561
8	Up	458752	0.4583
8	Down	458752	0.4566
9	Q	131072	0.4583
9	K	32768	0.4588
9	V	32768	0.4616
9	O	131072	0.4540
9	Gate	458752	0.4568
9	Up	458752	0.4583
9	Down	458752	0.4571
10	Q	131072	0.4603
10	K	32768	0.4623
10	V	32768	0.4628
10	O	131072	0.4538
10	Gate	458752	0.4560
10	Up	458752	0.4571
10	Down	458752	0.4562
11	Q	131072	0.4579
11	K	32768	0.4589
11	V	32768	0.4597
11	O	131072	0.4547
11	Gate	458752	0.4568
11	Up	458752	0.4583
11	Down	458752	0.4569
12	Q	131072	0.4574
12	K	32768	0.4564
12	V	32768	0.4596
12	O	131072	0.4536
12	Gate	458752	0.4578
12	Up	458752	0.4596
12	Down	458752	0.4578
13	Q	131072	0.4579
13	K	32768	0.4595
13	V	32768	0.4584
13	O	131072	0.4538
13	Gate	458752	0.4579
13	Up	458752	0.4584
13	Down	458752	0.4578
14	Q	131072	0.4601
14	K	32768	0.4639
14	V	32768	0.4640
14	O	131072	0.4549
14	Gate	458752	0.4581
14	Up	458752	0.4585
14	Down	458752	0.4579
15	Q	131072	0.4574
15	K	32768	0.4594
15	V	32768	0.4662
15	O	131072	0.4538
15	Gate	458752	0.4567
15	Up	458752	0.4579
15	Down	458752	0.4568
16	Q	131072	0.4574
16	K	32768	0.4588
16	V	32768	0.4653
16	O	131072	0.4536
16	Gate	458752	0.4561
16	Up	458752	0.4572
16	Down	458752	0.4563
17	Q	131072	0.4568
17	K	32768	0.4591
17	V	32768	0.4601
17	O	131072	0.4539
17	Gate	458752	0.4558
17	Up	458752	0.4570
17	Down	458752	0.4560
18	Q	131072	0.4567
18	K	32768	0.4604
18	V	32768	0.4674
18	O	131072	0.4537
18	Gate	458752	0.4549
18	Up	458752	0.4555
18	Down	458752	0.4552
19	Q	131072	0.4567
19	K	32768	0.4606
19	V	32768	0.4636
19	O	131072	0.4539
19	Gate	458752	0.4546
19	Up	458752	0.4551
19	Down	458752	0.4548
20	Q	131072	0.4568
20	K	32768	0.4640
20	V	32768	0.4633
20	O	131072	0.4536
20	Gate	458752	0.4544
20	Up	458752	0.4550
20	Down	458752	0.4546
21	Q	131072	0.4567
21	K	32768	0.4603
21	V	32768	0.4621
21	O	131072	0.4539
21	Gate	458752	0.4545
21	Up	458752	0.4552
21	Down	458752	0.4547
22	Q	131072	0.4571
22	K	32768	0.4628
22	V	32768	0.4629
22	O	131072	0.4537
22	Gate	458752	0.4540
22	Up	458752	0.4545
22	Down	458752	0.4542
23	Q	131072	0.4582
23	K	32768	0.4650
23	V	32768	0.4612
23	O	131072	0.4534
23	Gate	458752	0.4540
23	Up	458752	0.4542
23	Down	458752	0.4543
24	Q	131072	0.4591
24	K	32768	0.4683
24	V	32768	0.4648
24	O	131072	0.4536
24	Gate	458752	0.4541
24	Up	458752	0.4540
24	Down	458752	0.4543
25	Q	131072	0.4604
25	K	32768	0.4682
25	V	32768	0.4627
25	O	131072	0.4534
25	Gate	458752	0.4541
25	Up	458752	0.4541
25	Down	458752	0.4544
26	Q	131072	0.4603
26	K	32768	0.4704
26	V	32768	0.4638
26	O	131072	0.4536
26	Gate	458752	0.4543
26	Up	458752	0.4542
26	Down	458752	0.4544
27	Q	131072	0.4609
27	K	32768	0.4708
27	V	32768	0.4649
27	O	131072	0.4536
27	Gate	458752	0.4543
27	Up	458752	0.4544
27	Down	458752	0.4544
28	Q	131072	0.4583
28	K	32768	0.4662
28	V	32768	0.4640
28	O	131072	0.4540
28	Gate	458752	0.4546
28	Up	458752	0.4553
28	Down	458752	0.4545
29	Q	131072	0.4613
29	K	32768	0.4638
29	V	32768	0.4637
29	O	131072	0.4536
29	Gate	458752	0.4549
29	Up	458752	0.4568
29	Down	458752	0.4545
30	Q	131072	0.4621
30	K	32768	0.4750
30	V	32768	0.4672
30	O	131072	0.4537
30	Gate	458752	0.4553
30	Up	458752	0.4607
30	Down	458752	0.4550
31	Q	131072	0.4602
31	K	32768	0.4661
31	V	32768	0.4660
31	O	131072	0.4561
31	Gate	458752	0.4565
31	Up	458752	0.4683
31	Down	458752	0.4574
