layer	projection	null	actual_red	null_red	delta_pp
0	Q	uniform	0.6433	0.3987	24.46
0	Q	proj_hist	0.6433	0.6299	1.34
0	Q	tile_hist	0.6433	0.6323	1.10
0	Q	cross_out	0.6433	0.6304	1.29
0	K	uniform	0.6339	0.3978	23.61
0	K	proj_hist	0.6339	0.6180	1.59
0	K	tile_hist	0.6339	0.6232	1.07
0	K	cross_out	0.6339	0.6206	1.33
0	V	uniform	0.5670	0.3975	16.96
0	V	proj_hist	0.5670	0.5500	1.70
0	V	tile_hist	0.5670	0.5633	0.37
0	V	cross_out	0.5670	0.5593	0.78
0	O	uniform	0.4584	0.3979	6.05
0	O	proj_hist	0.4584	0.4625	-0.42
0	O	tile_hist	0.4584	0.4624	-0.40
0	O	cross_out	0.4584	0.4584	0.00
0	Gate	uniform	0.4619	0.3983	6.36
0	Gate	proj_hist	0.4619	0.4658	-0.38
0	Gate	tile_hist	0.4619	0.4634	-0.15
0	Gate	cross_out	0.4619	0.4633	-0.14
0	Up	uniform	0.4551	0.3992	5.58
0	Up	proj_hist	0.4551	0.4609	-0.58
0	Up	tile_hist	0.4551	0.4589	-0.38
0	Up	cross_out	0.4551	0.4567	-0.16
0	Down	uniform	0.4570	0.3976	5.94
0	Down	proj_hist	0.4570	0.4646	-0.76
0	Down	tile_hist	0.4570	0.4631	-0.61
0	Down	cross_out	0.4570	0.4593	-0.23
1	Q	uniform	0.4828	0.3979	8.48
1	Q	proj_hist	0.4828	0.4802	0.26
1	Q	tile_hist	0.4828	0.4820	0.08
1	Q	cross_out	0.4828	0.4799	0.29
1	K	uniform	0.4967	0.3966	10.01
1	K	proj_hist	0.4967	0.4885	0.82
1	K	tile_hist	0.4967	0.4915	0.52
1	K	cross_out	0.4967	0.4890	0.77
1	V	uniform	0.4790	0.3975	8.15
1	V	proj_hist	0.4790	0.4728	0.62
1	V	tile_hist	0.4790	0.4787	0.03
1	V	cross_out	0.4790	0.4773	0.17
1	O	uniform	0.4551	0.3958	5.93
1	O	proj_hist	0.4551	0.4592	-0.41
1	O	tile_hist	0.4551	0.4585	-0.34
1	O	cross_out	0.4551	0.4544	0.07
1	Gate	uniform	0.4588	0.3975	6.13
1	Gate	proj_hist	0.4588	0.4634	-0.46
1	Gate	tile_hist	0.4588	0.4647	-0.59
1	Gate	cross_out	0.4588	0.4619	-0.31
1	Up	uniform	0.4542	0.3974	5.68
1	Up	proj_hist	0.4542	0.4609	-0.67
1	Up	tile_hist	0.4542	0.4591	-0.49
1	Up	cross_out	0.4542	0.4570	-0.28
1	Down	uniform	0.4521	0.3972	5.49
1	Down	proj_hist	0.4521	0.4624	-1.03
1	Down	tile_hist	0.4521	0.4581	-0.59
1	Down	cross_out	0.4521	0.4531	-0.10
2	Q	uniform	0.4594	0.3980	6.14
2	Q	proj_hist	0.4594	0.4722	-1.28
2	Q	tile_hist	0.4594	0.4625	-0.31
2	Q	cross_out	0.4594	0.4617	-0.23
2	K	uniform	0.4744	0.3979	7.64
2	K	proj_hist	0.4744	0.4759	-0.15
2	K	tile_hist	0.4744	0.4772	-0.28
2	K	cross_out	0.4744	0.4760	-0.16
2	V	uniform	0.4656	0.3966	6.90
2	V	proj_hist	0.4656	0.4659	-0.04
2	V	tile_hist	0.4656	0.4684	-0.28
2	V	cross_out	0.4656	0.4653	0.03
2	O	uniform	0.4529	0.3986	5.44
2	O	proj_hist	0.4529	0.4619	-0.89
2	O	tile_hist	0.4529	0.4578	-0.48
2	O	cross_out	0.4529	0.4528	0.01
2	Gate	uniform	0.4596	0.3975	6.21
2	Gate	proj_hist	0.4596	0.4607	-0.11
2	Gate	tile_hist	0.4596	0.4607	-0.11
2	Gate	cross_out	0.4596	0.4593	0.03
2	Up	uniform	0.4569	0.3967	6.02
2	Up	proj_hist	0.4569	0.4598	-0.29
2	Up	tile_hist	0.4569	0.4615	-0.46
2	Up	cross_out	0.4569	0.4589	-0.20
2	Down	uniform	0.4556	0.3964	5.91
2	Down	proj_hist	0.4556	0.4610	-0.54
2	Down	tile_hist	0.4556	0.4601	-0.46
2	Down	cross_out	0.4556	0.4568	-0.13
3	Q	uniform	0.4681	0.3977	7.04
3	Q	proj_hist	0.4681	0.4677	0.04
3	Q	tile_hist	0.4681	0.4716	-0.35
3	Q	cross_out	0.4681	0.4678	0.03
3	K	uniform	0.4679	0.3976	7.03
3	K	proj_hist	0.4679	0.4688	-0.09
3	K	tile_hist	0.4679	0.4706	-0.27
3	K	cross_out	0.4679	0.4692	-0.13
3	V	uniform	0.4628	0.3964	6.63
3	V	proj_hist	0.4628	0.4631	-0.04
3	V	tile_hist	0.4628	0.4649	-0.21
3	V	cross_out	0.4628	0.4637	-0.09
3	O	uniform	0.4531	0.3987	5.43
3	O	proj_hist	0.4531	0.4583	-0.52
3	O	tile_hist	0.4531	0.4550	-0.19
3	O	cross_out	0.4531	0.4520	0.11
3	Gate	uniform	0.4583	0.3982	6.01
3	Gate	proj_hist	0.4583	0.4612	-0.29
3	Gate	tile_hist	0.4583	0.4603	-0.21
3	Gate	cross_out	0.4583	0.4599	-0.16
3	Up	uniform	0.4534	0.3972	5.62
3	Up	proj_hist	0.4534	0.4598	-0.64
3	Up	tile_hist	0.4534	0.4604	-0.70
3	Up	cross_out	0.4534	0.4554	-0.20
3	Down	uniform	0.4539	0.3984	5.55
3	Down	proj_hist	0.4539	0.4617	-0.78
3	Down	tile_hist	0.4539	0.4589	-0.50
3	Down	cross_out	0.4539	0.4560	-0.21
4	Q	uniform	0.4627	0.3985	6.42
4	Q	proj_hist	0.4627	0.4674	-0.47
4	Q	tile_hist	0.4627	0.4661	-0.34
4	Q	cross_out	0.4627	0.4622	0.05
4	K	uniform	0.4606	0.3976	6.30
4	K	proj_hist	0.4606	0.4683	-0.77
4	K	tile_hist	0.4606	0.4644	-0.38
4	K	cross_out	0.4606	0.4623	-0.17
4	V	uniform	0.4543	0.3970	5.73
4	V	proj_hist	0.4543	0.4658	-1.15
4	V	tile_hist	0.4543	0.4612	-0.70
4	V	cross_out	0.4543	0.4549	-0.06
4	O	uniform	0.4492	0.3984	5.08
4	O	proj_hist	0.4492	0.4592	-1.01
4	O	tile_hist	0.4492	0.4525	-0.33
4	O	cross_out	0.4492	0.4503	-0.12
4	Gate	uniform	0.4577	0.3976	6.01
4	Gate	proj_hist	0.4577	0.4627	-0.50
4	Gate	tile_hist	0.4577	0.4614	-0.37
4	Gate	cross_out	0.4577	0.4587	-0.10
4	Up	uniform	0.4643	0.3986	6.57
4	Up	proj_hist	0.4643	0.4619	0.24
4	Up	tile_hist	0.4643	0.4672	-0.29
4	Up	cross_out	0.4643	0.4658	-0.15
4	Down	uniform	0.4626	0.3975	6.51
4	Down	proj_hist	0.4626	0.4615	0.10
4	Down	tile_hist	0.4626	0.4642	-0.16
4	Down	cross_out	0.4626	0.4617	0.09
5	Q	uniform	0.4556	0.3956	6.00
5	Q	proj_hist	0.4556	0.4665	-1.09
5	Q	tile_hist	0.4556	0.4609	-0.52
5	Q	cross_out	0.4556	0.4556	0.01
5	K	uniform	0.4623	0.3978	6.45
5	K	proj_hist	0.4623	0.4675	-0.51
5	K	tile_hist	0.4623	0.4644	-0.21
5	K	cross_out	0.4623	0.4621	0.02
5	V	uniform	0.4663	0.3994	6.70
5	V	proj_hist	0.4663	0.4655	0.08
5	V	tile_hist	0.4663	0.4659	0.04
5	V	cross_out	0.4663	0.4640	0.23
5	O	uniform	0.4488	0.3989	4.99
5	O	proj_hist	0.4488	0.4604	-1.16
5	O	tile_hist	0.4488	0.4528	-0.40
5	O	cross_out	0.4488	0.4500	-0.12
5	Gate	uniform	0.4578	0.3968	6.10
5	Gate	proj_hist	0.4578	0.4615	-0.38
5	Gate	tile_hist	0.4578	0.4616	-0.38
5	Gate	cross_out	0.4578	0.4594	-0.16
5	Up	uniform	0.4594	0.3967	6.27
5	Up	proj_hist	0.4594	0.4610	-0.16
5	Up	tile_hist	0.4594	0.4618	-0.24
5	Up	cross_out	0.4594	0.4601	-0.07
5	Down	uniform	0.4588	0.3973	6.15
5	Down	proj_hist	0.4588	0.4615	-0.27
5	Down	tile_hist	0.4588	0.4607	-0.19
5	Down	cross_out	0.4588	0.4588	0.00
6	Q	uniform	0.4580	0.3995	5.85
6	Q	proj_hist	0.4580	0.4634	-0.54
6	Q	tile_hist	0.4580	0.4604	-0.24
6	Q	cross_out	0.4580	0.4580	0.00
6	K	uniform	0.4631	0.3969	6.63
6	K	proj_hist	0.4631	0.4637	-0.05
6	K	tile_hist	0.4631	0.4639	-0.07
6	K	cross_out	0.4631	0.4640	-0.09
6	V	uniform	0.4595	0.3984	6.12
6	V	proj_hist	0.4595	0.4642	-0.46
6	V	tile_hist	0.4595	0.4653	-0.58
6	V	cross_out	0.4595	0.4629	-0.34
6	O	uniform	0.4501	0.3987	5.13
6	O	proj_hist	0.4501	0.4591	-0.90
6	O	tile_hist	0.4501	0.4550	-0.49
6	O	cross_out	0.4501	0.4517	-0.16
6	Gate	uniform	0.4532	0.3975	5.57
6	Gate	proj_hist	0.4532	0.4602	-0.70
6	Gate	tile_hist	0.4532	0.4587	-0.55
6	Gate	cross_out	0.4532	0.4561	-0.29
6	Up	uniform	0.4559	0.3999	5.60
6	Up	proj_hist	0.4559	0.4611	-0.51
6	Up	tile_hist	0.4559	0.4626	-0.67
6	Up	cross_out	0.4559	0.4591	-0.32
