layer	projection	null	actual_red	null_red	delta_pp
0	Q	uniform	0.6473	0.3979	24.94
0	Q	proj_hist	0.6473	0.5571	9.02
0	Q	tile_hist	0.6473	0.5540	9.33
0	Q	cross_out	0.6473	0.5536	9.37
0	K	uniform	0.6458	0.3976	24.82
0	K	proj_hist	0.6458	0.5836	6.22
0	K	tile_hist	0.6458	0.5538	9.20
0	K	cross_out	0.6458	0.5527	9.31
0	V	uniform	0.6469	0.3979	24.90
0	V	proj_hist	0.6469	0.5532	9.36
0	V	tile_hist	0.6469	0.5552	9.17
0	V	cross_out	0.6469	0.5536	9.32
0	O	uniform	0.6473	0.3986	24.87
0	O	proj_hist	0.6473	0.5547	9.27
0	O	tile_hist	0.6473	0.5565	9.08
0	O	cross_out	0.6473	0.5547	9.27
0	Gate	uniform	0.6496	0.3991	25.05
0	Gate	proj_hist	0.6496	0.5563	9.33
0	Gate	tile_hist	0.6496	0.5547	9.48
0	Gate	cross_out	0.6496	0.5554	9.42
0	Up	uniform	0.6490	0.3986	25.04
0	Up	proj_hist	0.6490	0.5576	9.14
0	Up	tile_hist	0.6490	0.5563	9.27
0	Up	cross_out	0.6490	0.5553	9.37
0	Down	uniform	0.6520	0.3954	25.66
0	Down	proj_hist	0.6520	0.5474	10.46
0	Down	tile_hist	0.6520	0.5588	9.32
0	Down	cross_out	0.6520	0.5591	9.29
1	Q	uniform	0.6462	0.3976	24.85
1	Q	proj_hist	0.6462	0.5549	9.13
1	Q	tile_hist	0.6462	0.5551	9.11
1	Q	cross_out	0.6462	0.5535	9.27
1	K	uniform	0.6470	0.3976	24.93
1	K	proj_hist	0.6470	0.5534	9.36
1	K	tile_hist	0.6470	0.5554	9.16
1	K	cross_out	0.6470	0.5544	9.26
1	V	uniform	0.6505	0.3967	25.38
1	V	proj_hist	0.6505	0.5599	9.05
1	V	tile_hist	0.6505	0.5577	9.27
1	V	cross_out	0.6505	0.5560	9.44
1	O	uniform	0.6488	0.3971	25.17
1	O	proj_hist	0.6488	0.5577	9.11
1	O	tile_hist	0.6488	0.5554	9.34
1	O	cross_out	0.6488	0.5554	9.34
1	Gate	uniform	0.6480	0.3980	25.00
1	Gate	proj_hist	0.6480	0.5601	8.80
1	Gate	tile_hist	0.6480	0.5540	9.41
1	Gate	cross_out	0.6480	0.5526	9.54
1	Up	uniform	0.6501	0.3973	25.29
1	Up	proj_hist	0.6501	0.5575	9.27
1	Up	tile_hist	0.6501	0.5573	9.29
1	Up	cross_out	0.6501	0.5563	9.39
1	Down	uniform	0.6490	0.3975	25.16
1	Down	proj_hist	0.6490	0.5494	9.97
1	Down	tile_hist	0.6490	0.5543	9.48
1	Down	cross_out	0.6490	0.5524	9.67
2	Q	uniform	0.6467	0.3978	24.90
2	Q	proj_hist	0.6467	0.5580	8.87
2	Q	tile_hist	0.6467	0.5547	9.20
2	Q	cross_out	0.6467	0.5533	9.34
2	K	uniform	0.6495	0.3976	25.19
2	K	proj_hist	0.6495	0.5591	9.05
2	K	tile_hist	0.6495	0.5566	9.29
2	K	cross_out	0.6495	0.5558	9.38
2	V	uniform	0.6454	0.3966	24.88
2	V	proj_hist	0.6454	0.5566	8.87
2	V	tile_hist	0.6454	0.5528	9.26
2	V	cross_out	0.6454	0.5521	9.33
